Scenario,Metric,N,Mean,SD,CI95_Lower,CI95_Upper,Median,IQR_Lower_Q1,IQR_Upper_Q3,Min,Max
Q1,Throughput,100,3.41175,0.2670416823288269,3.3587689302259607,3.4647310697740394,3.425,3.2632499999999998,3.57525,2.743,4.252
Q1,FinalityLatency,100,20.325599999999998,1.8877779787278208,19.951064849020398,20.700135150979598,20.299999999999997,19.01,21.6175,15.51,24.93
Q1,ReceiptLatency,100,27.4975,2.2252415031799915,27.056012085769087,27.93898791423091,27.53,26.0575,29.12,22.08,33.71
Q1,ShardLoadImbalance,100,13.5998,1.1335988815460363,13.374893981901266,13.824706018098734,13.405000000000001,12.8725,14.3225,11.24,16.09
Q1,RewardGini,100,37.9723,9.876928207604923,36.01271744361118,39.931882556388814,33.84,30.2175,44.8075,24.59,62.25
Q1,RewardHHI,100,27.062600000000003,7.564374184827243,25.56182816173028,28.563371838269727,22.965,21.775000000000002,30.262500000000003,20.67,52.13
Q2,Throughput,100,4.94254,0.1512822914857245,4.9125255933692324,4.972554406630768,4.938000000000001,4.82675,5.039,4.514,5.314
Q2,FinalityLatency,100,27.246800000000007,2.7106065071056764,26.70901566899024,27.784584331009775,27.625,25.455,28.805,20.62,34.37
Q2,ReceiptLatency,100,35.0974,3.123583677428698,34.47768099839815,35.71711900160185,35.53,32.88,37.115,27.63,42.5
Q2,ShardLoadImbalance,100,14.8432,1.1094569424140384,14.623083742625054,15.063316257374945,14.8,14.1075,15.6775,12.64,17.71
Q2,RewardGini,100,40.1844,10.453889935707128,38.110348236755705,42.25845176324429,37.81999999999999,34.035,50.9125,24.72,60.45
Q2,RewardHHI,100,28.364,8.071845194779497,26.762545913355748,29.965454086644254,24.965,22.83,36.03,20.6,51.96
Q3,Throughput,100,3.85111,0.17913557277755704,3.8155695023609324,3.8866504976390672,3.8465,3.7375,3.9585,3.352,4.3
Q3,FinalityLatency,100,33.4821,2.5564737768491135,32.974895602673136,33.98930439732687,33.43,31.622500000000002,34.88,27.16,42.08
Q3,ReceiptLatency,100,43.443000000000005,2.720330305256508,42.90328646743711,43.9827135325629,43.205,41.5775,45.19,37.31,53.12
Q3,ShardLoadImbalance,100,13.6527,1.022518039652182,13.449832420933006,13.855567579066992,13.585,13.105,14.26,11.21,16.45
Q3,RewardGini,100,38.5548,10.17889909706756,36.5353064191418,40.5742935808582,33.785,30.14,46.3525,24.43,64.84
Q3,RewardHHI,100,27.6976,7.894088712831938,26.131412799374147,29.263787200625856,23.36,21.86,31.345,20.58,51.96
Q4,Throughput,100,2.8638100000000004,0.2569495369629114,2.8128312118665586,2.914788788133442,2.8745000000000003,2.6685,3.03425,2.284,3.607
Q4,FinalityLatency,100,35.161199999999994,4.542363617360815,34.25999505831561,36.06240494168438,35.18,31.995,38.25,22.27,47.35
Q4,ReceiptLatency,100,44.0734,4.796896349292799,43.121695764300306,45.02510423569969,43.985,41.0925,47.644999999999996,31.05,57.36
Q4,ShardLoadImbalance,100,13.802100000000001,1.2067891240390718,13.562673037790649,14.041526962209353,13.78,12.905000000000001,14.765,11.14,16.23
Q4,RewardGini,100,42.16700000000001,11.471777974620583,39.89099924983528,44.443000750164735,41.230000000000004,32.475,50.8325,24.83,70.92
Q4,RewardHHI,100,29.468700000000002,9.032901214645012,27.676572399014432,31.26082760098557,26.55,22.505,35.397499999999994,20.62,59.38
Q5,Throughput,100,4.19339,0.2399884212274257,4.145776297228479,4.241003702771521,4.180999999999999,4.04875,4.3395,3.588,4.765
Q5,FinalityLatency,100,24.5458,2.3721452508033924,24.075166382240607,25.016433617759393,24.72,23.345,25.794999999999998,19.64,31.78
Q5,ReceiptLatency,100,31.978400000000008,2.751841888222828,31.4324345693766,32.52436543062342,31.705,29.955,33.96,26.54,38.74
Q5,ShardLoadImbalance,100,13.733700000000004,1.0532457337950987,13.524736046415057,13.942663953584951,13.83,13.085,14.344999999999999,11.3,16.55
Q5,RewardGini,100,39.2142,10.600560513101144,37.111048794200734,41.31735120579926,36.125,28.985,48.8475,24.32,61.68
Q5,RewardHHI,100,27.965399999999995,7.651513274767246,26.447339766286174,29.483460233713817,24.015,21.605,34.565,20.57,50.04
Q6,Throughput,100,3.3994899999999997,0.25623117304575577,3.348653735267722,3.4503262647322774,3.3815,3.26075,3.5255,2.769,4.106
Q6,FinalityLatency,100,30.597699999999996,3.7538305970721626,29.85294000954088,31.342459990459112,30.945,28.27,33.0425,20.59,40.19
Q6,ReceiptLatency,100,38.680099999999996,4.000123355421162,37.886475526284435,39.473724473715556,39.065,36.14,41.099999999999994,27.95,49.48
Q6,ShardLoadImbalance,100,14.240500000000003,1.030224428819941,14.036103473322127,14.444896526677878,14.274999999999999,13.4875,15.115,12.2,16.49
Q6,RewardGini,100,49.9654,11.743534341427322,47.63548278666082,52.29531721333918,51.19,39.037499999999994,58.625,27.94,74.34
Q6,RewardHHI,100,34.5193,11.012794419183166,32.33436158723406,36.70423841276594,31.674999999999997,26.2625,39.555,21.22,68.12
Q7,Throughput,100,3.61553,0.15422995130255301,3.5849307776615738,3.6461292223384265,3.612,3.5367499999999996,3.7225,3.193,4.042
Q7,FinalityLatency,100,33.995400000000004,3.0553633651219445,33.38921590835981,34.6015840916402,34.08,31.8175,36.325,26.9,41.17
Q7,ReceiptLatency,100,42.366800000000005,3.022865347495801,41.76706351505684,42.96653648494317,42.515,40.052499999999995,44.489999999999995,35.08,49.61
Q7,ShardLoadImbalance,100,29.3648,1.5056717551788754,29.06607472377251,29.66352527622749,29.365000000000002,28.585,30.6075,25.02,31.82
Q7,RewardGini,100,52.7127,13.599899424390438,50.01447995420094,55.41092004579906,54.099999999999994,41.1925,68.1375,22.96,75.04
Q7,RewardHHI,100,40.278800000000004,17.963042827883132,36.71493230294799,43.842667697052015,35.095,26.285,63.7525,20.39,79.99
