factor_id,factor,level,metric,U,p_raw,cliff_delta,mean_diff,ci_low,ci_high,p_holm
WORKLOAD,Transactions/run,LOW,logical_throughput,0.0,5.206467185608565e-35,-1.0,-0.11109677494792075,-0.12207086649753277,-0.10012268339830874,6.768407341291134e-34
WORKLOAD,Transactions/run,HIGH,logical_throughput,10000.0,4.456928504162665e-35,1.0,0.23517949390361786,0.21823726068907612,0.2521217271181596,6.239699905827731e-34
CROSS_SHARD_PCT,Cross-shard demand,LOW,mean_receipt_latency,0.0,2.1895435420469888e-34,-1.0,-6.620714285714271,-6.820297746797209,-6.421130824631334,2.4084978962516875e-33
CROSS_SHARD_PCT,Cross-shard demand,HIGH,mean_receipt_latency,10000.0,1.8879345554246275e-34,1.0,3.3089285714285808,3.1584855665834457,3.459371576273716,2.265521466509553e-33
REQUEST_OFFLINE_PCT,Request disconnection,LOW,finality_success_pct,9728.5,1.6731974676999424e-32,0.9457,9.208333333333329,8.343064453701873,10.073602212964785,1.5058777209299481e-31
REQUEST_OFFLINE_PCT,Request disconnection,HIGH,finality_success_pct,543.0,4.4929954612909047e-29,-0.8914,-9.25,-10.35825835071132,-8.14174164928868,3.5943963690327238e-28
RECEIPT_DROP_PCT,Receipt delivery drop,LOW,receipt_success_pct,9885.5,5.8730805163388105e-34,0.9771000000000001,15.500000000000007,14.273140736727308,16.726859263272704,5.87308051633881e-33
RECEIPT_DROP_PCT,Receipt delivery drop,HIGH,receipt_success_pct,599.0,3.066833277093043e-28,-0.8802,-8.541666666666664,-9.575367318708363,-7.507966014624967,2.1467832939651298e-27
OWNER_CAP,Owner-stake cap,LOW,owner_concentration_pct,1985.5,1.7402026970257305e-13,-0.6029,-12.503599999999992,-15.350009864352602,-9.657190135647381,6.611906652725135e-13
OWNER_CAP,Owner-stake cap,HIGH,owner_concentration_pct,3291.0,2.9712247107386368e-05,-0.3418,-6.596299999999992,-9.600611429389426,-3.5919885706105585,5.9424494214772736e-05
MOBILE_THRESHOLD,Mobile-fitness threshold,LOW,eligible_validators,5000.0,1.0,0.0,0.0,0.0,0.0,1.0
MOBILE_THRESHOLD,Mobile-fitness threshold,HIGH,eligible_validators,0.0,3.5216158823946e-45,-1.0,-3.0,-3.0,-3.0,5.63458541183136e-44
COMMITTEE_QUORUM,Committee/quorum,LOW,committee_recoveries,2307.5,1.6529766631812838e-13,-0.5385,-0.6699999999999999,-0.8231587486793862,-0.5168412513206136,6.611906652725135e-13
COMMITTEE_QUORUM,Committee/quorum,HIGH,committee_recoveries,8720.0,1.714811913109555e-22,0.744,1.1,0.9254949320884002,1.2745050679116,8.574059565547775e-22
LOAD_THRESHOLD,Load threshold,LOW,reconfiguration_events,9335.0,3.5197638636044605e-27,0.867,2.3099999999999996,2.0040598209494407,2.6159401790505585,2.1118583181626762e-26
LOAD_THRESHOLD,Load threshold,HIGH,reconfiguration_events,0.0,7.856631835311796e-38,-1.0,-3.71,-3.917399858617082,-3.502600141382918,1.1784947752967694e-36
