experiment_id,factor_id,level_id,configuration,scenario_id,run_id,base_seed,model_time,stop_code,submitted_tx,prepared_tx,routed_tx,cross_shard_tx,shard_blocks,eligible_validators,active_committees,committee_recoveries,finality_certificates,root_commitments,receipts,terminal_failures,reward_events,quarantine_events,slashing_events,reconfiguration_events,evidence_count,finality_latency_sum,finality_latency_n,receipt_latency_sum,receipt_latency_n,reward_gini_bp,reward_hhi_bp,nakamoto_coefficient,owner_concentration_bp,shard_load_std_bp
DEFAULT_EQ,Q1,DEFAULT,baseSeed=626|nTx=24|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,1,626,62,COMPLETE,24,24,24,5,24,10,4,0,24,24,24,0,120,0,0,0,397,493,24,847,24,5884,2387,2,3750,300
DEFAULT_EQ,Q1,DEFAULT,baseSeed=626|nTx=24|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,2,626,50,COMPLETE,24,24,24,3,24,10,4,0,24,24,24,0,120,0,0,0,397,467,24,809,24,4980,1789,3,2403,300
DEFAULT_EQ,Q1,DEFAULT,baseSeed=626|nTx=24|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,3,626,62,COMPLETE,24,24,24,2,24,10,4,0,24,24,24,0,120,0,0,0,397,454,24,790,24,6000,2388,2,3846,300
DEFAULT_EQ,Q1,DEFAULT,baseSeed=626|nTx=24|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,4,626,48,COMPLETE,24,24,24,2,24,10,4,0,24,24,24,0,120,0,0,1,398,453,24,789,24,5115,1838,3,2403,600
DEFAULT_EQ,Q1,DEFAULT,baseSeed=626|nTx=24|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,5,626,49,COMPLETE,24,24,24,3,24,10,4,0,24,24,24,0,120,0,0,0,397,466,24,808,24,4705,1750,3,2211,200
DEFAULT_EQ,Q1,DEFAULT,baseSeed=626|nTx=24|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,6,626,62,COMPLETE,24,24,24,4,24,10,4,0,24,24,24,0,120,0,0,0,397,479,24,827,24,6358,2579,2,4038,200
DEFAULT_EQ,Q1,DEFAULT,baseSeed=626|nTx=24|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,7,626,48,COMPLETE,24,24,24,1,24,10,4,0,24,24,24,0,120,0,0,0,397,441,24,771,24,4262,1604,3,2115,300
DEFAULT_EQ,Q1,DEFAULT,baseSeed=626|nTx=24|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,8,626,49,COMPLETE,24,24,24,2,24,10,4,0,24,24,24,0,120,0,0,0,397,455,24,791,24,4391,1703,3,2115,300
DEFAULT_EQ,Q1,DEFAULT,baseSeed=626|nTx=24|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,9,626,49,COMPLETE,24,24,24,2,24,10,4,0,24,24,24,0,120,0,0,0,397,453,24,789,24,4621,1750,3,2403,300
DEFAULT_EQ,Q1,DEFAULT,baseSeed=626|nTx=24|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,10,626,63,COMPLETE,24,24,24,3,24,10,4,0,24,24,24,0,120,0,0,0,397,466,24,808,24,4141,1592,3,2019,200
