experiment_id,factor_id,level_id,configuration,scenario_id,run_id,base_seed,model_time,stop_code,submitted_tx,prepared_tx,routed_tx,cross_shard_tx,shard_blocks,eligible_validators,active_committees,committee_recoveries,finality_certificates,root_commitments,receipts,terminal_failures,reward_events,quarantine_events,slashing_events,reconfiguration_events,evidence_count,finality_latency_sum,finality_latency_n,receipt_latency_sum,receipt_latency_n,reward_gini_bp,reward_hhi_bp,nakamoto_coefficient,owner_concentration_bp,shard_load_std_bp
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,1,626,61,COMPLETE,16,16,16,3,16,10,4,0,16,16,16,0,80,0,0,0,269,313,16,545,16,6182,2673,2,4326,200
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,2,626,48,COMPLETE,16,16,16,2,16,10,4,0,16,16,16,0,80,0,0,0,269,300,16,526,16,5298,1939,2,2644,200
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,3,626,49,COMPLETE,16,16,16,1,16,10,4,0,16,16,16,0,80,0,0,0,269,289,16,509,16,6019,2398,2,3846,300
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,4,626,47,COMPLETE,16,16,16,1,16,10,4,0,16,16,16,0,80,0,0,0,269,288,16,508,16,5144,1845,3,2548,300
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,5,626,48,COMPLETE,16,16,16,2,16,10,4,0,16,16,16,0,80,0,0,0,269,300,16,526,16,4750,1764,3,2163,200
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,6,626,47,COMPLETE,16,16,16,1,16,10,4,0,16,16,16,0,80,0,0,0,269,288,16,508,16,6317,2523,2,3894,300
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,7,626,48,COMPLETE,16,16,16,2,16,10,4,0,16,16,16,0,80,0,0,0,269,300,16,526,16,4346,1622,3,2451,200
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,8,626,43,COMPLETE,16,16,16,0,16,10,4,0,16,16,16,0,80,0,0,0,269,276,16,490,16,4384,1710,3,2115,400
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,9,626,48,COMPLETE,16,16,16,1,16,10,4,0,16,16,16,0,80,0,0,0,269,289,16,509,16,4730,1778,3,2548,300
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,10,626,43,COMPLETE,16,16,16,0,16,10,4,0,16,16,16,0,80,0,0,0,269,276,16,490,16,4230,1607,3,2115,400
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,11,626,48,COMPLETE,16,16,16,2,16,10,4,0,16,16,16,0,80,0,0,0,269,300,16,526,16,5250,1927,3,2644,200
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,12,626,48,COMPLETE,16,16,16,1,16,10,4,0,16,16,16,0,80,0,0,0,269,288,16,508,16,3778,1504,3,2451,400
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,13,626,49,COMPLETE,16,16,16,1,16,10,4,0,16,16,16,0,80,0,0,0,269,289,16,509,16,5461,2106,2,3461,300
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,14,626,48,COMPLETE,16,16,16,2,16,10,4,0,16,16,16,0,80,0,0,0,269,300,16,526,16,5086,1894,2,2644,200
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,15,626,43,COMPLETE,16,16,16,0,16,10,4,0,16,16,16,0,80,0,0,0,269,276,16,490,16,4884,1969,2,3461,400
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,16,626,49,COMPLETE,16,16,16,2,16,10,4,0,16,16,16,0,80,0,0,0,269,302,16,528,16,4846,1771,3,2500,400
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,17,626,48,COMPLETE,16,16,16,2,16,10,4,0,16,16,16,0,80,0,0,0,269,300,16,526,16,5240,1913,2,2644,200
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,18,626,47,COMPLETE,16,16,16,1,16,10,4,0,16,16,16,0,80,0,0,0,269,288,16,508,16,5730,2245,2,3461,300
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,19,626,43,COMPLETE,16,16,16,0,16,10,4,0,16,16,16,0,80,0,0,0,269,276,16,490,16,4384,1710,3,2115,400
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,20,626,49,COMPLETE,16,16,16,2,16,10,4,0,16,16,16,0,80,0,0,0,269,301,16,527,16,5740,2381,2,3942,200
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,21,626,48,COMPLETE,16,16,16,2,16,10,4,0,16,16,16,0,80,0,0,0,269,300,16,526,16,4740,1745,3,2644,200
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,22,626,49,COMPLETE,16,16,16,1,16,10,4,0,16,16,16,0,80,0,0,0,269,288,16,508,16,4951,1790,3,2548,300
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,23,626,47,COMPLETE,16,16,16,1,16,10,4,0,16,16,16,0,80,0,0,0,269,288,16,508,16,4961,1808,3,2500,300
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,24,626,48,COMPLETE,16,16,16,1,16,10,4,0,16,16,16,0,80,0,0,0,269,288,16,508,16,4634,1677,3,2211,400
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,25,626,47,COMPLETE,16,16,16,1,16,10,4,0,16,16,16,0,80,0,0,0,269,288,16,508,16,3721,1479,3,2163,300
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,26,626,47,COMPLETE,16,16,16,1,16,10,4,0,16,16,16,0,80,0,0,0,269,288,16,508,16,4567,1672,3,2163,300
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,27,626,48,COMPLETE,16,16,16,1,16,10,4,0,16,16,16,0,80,0,0,0,269,288,16,508,16,4596,1941,2,3461,400
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,28,626,48,COMPLETE,16,16,16,1,16,10,4,0,16,16,16,0,80,0,0,0,269,289,16,509,16,5778,2473,2,4182,300
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,29,626,49,COMPLETE,16,16,16,3,16,10,4,0,16,16,16,0,80,0,0,0,269,316,16,548,16,5451,2695,2,4759,300
