experiment_id,factor_id,level_id,configuration,scenario_id,run_id,base_seed,model_time,stop_code,submitted_tx,prepared_tx,routed_tx,cross_shard_tx,shard_blocks,eligible_validators,active_committees,committee_recoveries,finality_certificates,root_commitments,receipts,terminal_failures,reward_events,quarantine_events,slashing_events,reconfiguration_events,evidence_count,finality_latency_sum,finality_latency_n,receipt_latency_sum,receipt_latency_n,reward_gini_bp,reward_hhi_bp,nakamoto_coefficient,owner_concentration_bp,shard_load_std_bp
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,1,626,48,COMPLETE,16,16,16,2,16,10,4,0,16,16,16,0,80,0,0,0,269,300,16,526,16,6173,2629,2,4326,200
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,2,626,48,COMPLETE,16,16,16,2,16,10,4,0,16,16,16,0,80,0,0,0,269,300,16,526,16,5298,1939,2,2644,200
OFAT,WORKLOAD,LOW,baseSeed=626|nTx=16|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,3,626,47,COMPLETE,16,16,16,1,16,10,4,0,16,16,16,0,80,0,0,0,269,288,16,508,16,6019,2398,2,3846,300
OFAT,WORKLOAD,DEFAULT,baseSeed=626|nTx=24|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,1,626,50,COMPLETE,24,24,24,3,24,10,4,0,24,24,24,0,120,0,0,0,397,466,24,808,24,5826,2339,2,3750,300
OFAT,WORKLOAD,DEFAULT,baseSeed=626|nTx=24|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,2,626,48,COMPLETE,24,24,24,2,24,10,4,0,24,24,24,0,120,0,0,0,397,454,24,790,24,5044,1810,3,2403,300
OFAT,WORKLOAD,DEFAULT,baseSeed=626|nTx=24|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,3,626,47,COMPLETE,24,24,24,1,24,10,4,0,24,24,24,0,120,0,0,0,397,440,24,770,24,6000,2388,2,3846,300
OFAT,WORKLOAD,HIGH,baseSeed=626|nTx=40|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,1,626,62,COMPLETE,40,40,40,11,40,10,4,0,40,40,40,0,200,0,0,6,659,888,40,1498,40,5865,2383,2,3807,800
OFAT,WORKLOAD,HIGH,baseSeed=626|nTx=40|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,2,626,63,COMPLETE,40,40,40,8,40,10,4,0,40,40,40,0,200,0,0,5,658,850,40,1442,40,5219,1894,3,2846,1500
OFAT,WORKLOAD,HIGH,baseSeed=626|nTx=40|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=0|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,1,3,626,63,COMPLETE,40,40,40,6,40,10,4,0,40,40,40,0,200,0,0,6,659,828,40,1408,40,5984,2362,2,3750,1000
OFAT,CROSS_SHARD_PCT,LOW,baseSeed=626|nTx=28|nValidators=10|nShards=4|committee=3|quorum=2|loadThreshold=75|maxTime=180|crossShardPct=20|requestOfflinePct=0|receiptDropPct=0|ownerCap=3000|mobileThreshold=35,3,1,626,62,COMPLETE,28,28,28,9,28,10,4,0,28,28,28,0,140,0,0,0,461,625,28,1061,28,5802,2320,2,3708,300
