scenario,scenario_name,run_id,seed,submitted_tx,routed_tx,finality_certificates,receipts,reward_events,total_reward,quarantine_events,reconfiguration_events,evidence_events,active_validators,quarantined_validators,finality_success_rate,receipt_success_rate,throughput,mean_finality_latency,mean_receipt_latency,cross_shard_ratio,shard1_load,shard2_load,shard_load_std,reward_gini,reward_hhi,owner_concentration,nakamoto_coefficient,malicious_committee_probability
Q1,Normal Qtum mobile contract request,1,5436,182,182,177,176,528,2640,0,2,541,12,0,97.2527,96.7033,1.76,17.6156,23.1524,9.3407,77.5842,77.3748,0.1047,25.0,30.0072,39.5455,1,0.0
Q1,Normal Qtum mobile contract request,2,5437,232,232,230,227,681,3405,0,2,694,12,0,99.1379,97.8448,2.27,17.6737,23.2295,11.2069,99.0904,98.9244,0.083,41.1674,42.109,60.0,1,0.0
Q1,Normal Qtum mobile contract request,3,5438,200,200,197,196,588,2940,0,2,597,12,0,98.5,98.0,1.96,17.4995,23.0425,9.0,100.8366,100.178,0.3293,26.9048,22.0023,30.3061,2,0.0
Q1,Normal Qtum mobile contract request,4,5439,244,244,240,233,699,3495,0,2,728,12,0,98.3607,95.4918,2.33,17.7165,23.1901,10.2459,92.6465,92.3747,0.1359,32.1717,28.0074,39.5708,1,0.0
Q1,Normal Qtum mobile contract request,5,5440,240,240,237,232,696,3480,0,2,717,12,0,98.75,96.6667,2.32,17.8302,23.3373,13.75,105.3738,104.9834,0.1952,27.4713,22.0262,31.0345,2,0.0
Q1,Normal Qtum mobile contract request,6,5441,211,211,207,205,615,3075,0,2,629,12,0,98.1043,97.1564,2.05,17.6403,23.0404,11.3744,103.904,103.375,0.2645,28.6016,22.1513,32.4878,2,0.0
Q1,Normal Qtum mobile contract request,7,5442,235,235,233,231,693,3465,0,2,703,12,0,99.1489,98.2979,2.31,17.3981,22.9664,11.0638,92.6177,92.6752,0.0288,28.9899,22.2181,32.987,2,0.0
Q1,Normal Qtum mobile contract request,8,5443,201,201,201,198,594,2970,0,2,603,12,0,100.0,98.5075,1.98,17.6403,23.0827,10.4478,88.046,88.6682,0.3111,32.0808,28.0016,39.798,1,0.0
Q1,Normal Qtum mobile contract request,9,5444,191,191,190,185,555,2775,0,2,572,12,0,99.4764,96.8586,1.85,17.7612,23.1658,14.1361,83.5699,83.8618,0.1459,32.4757,28.0566,41.1892,1,0.0
Q1,Normal Qtum mobile contract request,10,5445,251,251,248,245,735,3675,0,2,750,12,0,98.8048,97.6096,2.45,17.6574,23.1904,12.749,95.8869,95.9262,0.0196,30.1905,22.5018,34.5306,1,0.0
Q1,Normal Qtum mobile contract request,11,5446,211,211,207,204,612,3060,0,2,629,12,0,98.1043,96.6825,2.04,17.7941,23.2993,13.7441,86.9091,87.0084,0.0496,32.6275,28.0984,41.5686,1,0.0
Q1,Normal Qtum mobile contract request,12,5447,218,218,214,208,624,3120,0,2,650,12,0,98.1651,95.4128,2.08,17.9897,23.5263,16.055,107.938,108.1367,0.0994,40.7692,42.0473,60.0,1,0.0
Q1,Normal Qtum mobile contract request,13,5448,257,257,254,249,747,3735,0,2,768,12,0,98.8327,96.8872,2.49,17.6341,23.1567,11.284,98.9303,99.3535,0.2116,29.5716,22.341,33.7349,1,0.0
Q1,Normal Qtum mobile contract request,14,5449,193,193,192,187,561,2805,0,2,578,12,0,99.4819,96.8912,1.87,17.2633,22.7322,6.7358,78.2338,78.251,0.0086,29.287,22.2774,33.369,1,0.0
Q1,Normal Qtum mobile contract request,15,5450,207,207,207,198,594,2970,0,2,621,12,0,100.0,95.6522,1.98,17.6849,23.2567,12.5604,81.9471,82.4005,0.2267,32.8081,28.1632,37.9798,1,0.0
