scenario,scenario_name,metric,n,mean,sd,ci95,lower95,upper95,median,q1,q3,min,max
Q1,Normal Qtum mobile contract request,api_elapsed_ms,100,8.647122,4.709903,0.934445,7.712677,9.581567,7.8431,7.287975,8.69555,6.1961,53.1826
Q1,Normal Qtum mobile contract request,real_submitted_tx_per_sec,100,27026.653396,4032.998712,800.146945,26226.506451,27826.800341,27875.21175,25753.40375,29519.114675,4775.9988,33132.3218
Q1,Normal Qtum mobile contract request,real_finality_certs_per_sec,100,26588.817511,3943.345179,782.359684,25806.457827,27371.177195,27497.5194,25187.83075,28953.151275,4681.9831,32604.3167
Q1,Normal Qtum mobile contract request,real_receipts_per_sec,100,26030.479671,3865.788669,766.972472,25263.507199,26797.452143,26763.45645,24391.7847,28240.3885,4550.3611,31944.3102
Q1,Normal Qtum mobile contract request,real_rewards_per_sec,100,78091.439008,11597.366022,2300.917419,75790.521589,80392.356427,80290.3693,73175.354175,84721.16545,13651.0832,95832.9307
Q1,Normal Qtum mobile contract request,submitted_tx,100,220.43,24.879205,4.936034,215.493966,225.366034,218.5,201.75,245.25,181.0,259.0
Q1,Normal Qtum mobile contract request,finality_certificates,100,216.88,24.380104,4.837013,212.042987,221.717013,215.0,198.5,241.5,174.0,255.0
Q1,Normal Qtum mobile contract request,receipts,100,212.3,23.786721,4.719285,207.580715,217.019285,210.0,193.0,236.25,172.0,251.0
Q1,Normal Qtum mobile contract request,finality_success_rate,100,98.396465,0.732103,0.145249,98.251216,98.541714,98.45855,98.073175,98.908575,95.6044,100.0
Q1,Normal Qtum mobile contract request,receipt_success_rate,100,96.330555,1.323323,0.262547,96.068008,96.593102,96.41345,95.3469,97.25485,92.8934,99.095
Q1,Normal Qtum mobile contract request,model_logical_throughput,100,2.123,0.237867,0.047193,2.075807,2.170193,2.1,1.93,2.3625,1.72,2.51
Q1,Normal Qtum mobile contract request,mean_finality_latency_logical,100,17.711301,0.154329,0.030619,17.680682,17.74192,17.7208,17.60445,17.8102,17.2886,18.0524
Q1,Normal Qtum mobile contract request,mean_receipt_latency_logical,100,23.209053,0.173372,0.034397,23.174656,23.24345,23.20305,23.083575,23.342275,22.7445,23.5561
Q1,Normal Qtum mobile contract request,cross_shard_ratio,100,12.187033,2.326934,0.461664,11.725369,12.648697,12.0141,10.835025,13.697775,6.3241,18.6364
Q1,Normal Qtum mobile contract request,shard_load_std,100,0.154623,0.190072,0.03771,0.116913,0.192333,0.1369,0.0602,0.185325,0.0004,1.5311
Q1,Normal Qtum mobile contract request,reward_gini,100,29.851559,4.48474,0.889773,28.961786,30.741332,29.1915,26.995975,32.475625,12.2059,45.3333
Q1,Normal Qtum mobile contract request,reward_hhi,100,26.295545,4.889116,0.970001,25.325544,27.265546,24.2361,22.3724,28.26135,22.003,42.0408
Q1,Normal Qtum mobile contract request,owner_concentration,100,37.518073,6.880128,1.365017,36.153056,38.88309,36.0,32.804475,40.060725,30.3488,60.0
Q1,Normal Qtum mobile contract request,reconfiguration_events,100,1.94,0.312048,0.06191,1.87809,2.00191,2.0,2.0,2.0,0.0,2.0
Q1,Normal Qtum mobile contract request,quarantine_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q2,High-load Qtum mobile dApp,api_elapsed_ms,100,13.190221,4.873086,0.96682,12.223401,14.157041,12.4935,11.6977,13.485175,10.2172,57.7106
Q2,High-load Qtum mobile dApp,real_submitted_tx_per_sec,100,34393.534378,3854.485565,764.729936,33628.804442,35158.264314,34949.09005,33417.96295,36285.5619,8993.1447,39422.2348
Q2,High-load Qtum mobile dApp,real_finality_certs_per_sec,100,33789.406505,3791.68867,752.271032,33037.135473,34541.677537,34319.66105,32762.83935,35669.314225,8906.5055,38702.5591
Q2,High-load Qtum mobile dApp,real_receipts_per_sec,100,33141.691481,3711.330891,736.328049,32405.363432,33878.01953,33739.9918,32402.486425,34987.7363,8715.8994,37982.8834
Q2,High-load Qtum mobile dApp,real_rewards_per_sec,100,99425.074453,11133.99268,2208.984148,97216.090305,101634.058601,101219.97535,97207.45935,104963.208925,26147.6981,113948.6502
Q2,High-load Qtum mobile dApp,submitted_tx,100,439.28,47.940426,9.511381,429.768619,448.791381,440.5,398.0,486.5,365.0,519.0
Q2,High-load Qtum mobile dApp,finality_certificates,100,431.59,47.237011,9.371823,422.218177,440.961823,433.0,392.0,477.5,356.0,514.0
Q2,High-load Qtum mobile dApp,receipts,100,423.27,45.828811,9.092436,414.177564,432.362436,424.0,382.5,469.0,350.0,503.0
Q2,High-load Qtum mobile dApp,finality_success_rate,100,98.248134,0.57511,0.114102,98.134032,98.362236,98.2478,97.859775,98.607525,96.3265,99.7758
Q2,High-load Qtum mobile dApp,receipt_success_rate,100,96.367911,0.814135,0.161524,96.206387,96.529435,96.46095,95.86475,96.8928,94.335,98.4305
Q2,High-load Qtum mobile dApp,model_logical_throughput,100,3.401223,0.028734,0.005701,3.395522,3.406924,3.4045,3.38345,3.419775,3.3295,3.474
Q2,High-load Qtum mobile dApp,mean_finality_latency_logical,100,18.104286,0.118744,0.023559,18.080727,18.127845,18.1048,18.02025,18.1961,17.7831,18.3626
Q2,High-load Qtum mobile dApp,mean_receipt_latency_logical,100,23.601423,0.133136,0.026414,23.575009,23.627837,23.60315,23.513575,23.69345,23.2529,23.9439
