parameter,value,unit,note
health_endpoint_status,ok,text,"{'status': 'ok', 'service': 'spos-msc-prototype'}"
health_endpoint_response_ms,29.6242,ms,GET /health round-trip
sequential_api_benchmark_start_utc,2026-06-25T16:49:47.170879+00:00,timestamp,UTC
sequential_api_benchmark_end_utc,2026-06-25T16:49:54.331255+00:00,timestamp,UTC
sequential_api_wall_clock_seconds,7.160349,seconds,"700 GET requests, one run per request"
total_api_requests,700,requests,Q1-Q7 x 100
total_submitted_transactions,215274,transactions,Across 700 API runs
total_finality_certificates,208820,certificates,Across 700 API runs
total_receipts,201877,receipts,Across 700 API runs
total_reward_events,605631,reward events,Across 700 API runs
weighted_finality_success,97.002,%,finality certificates / submitted tx
weighted_receipt_success,93.7768,%,receipts / submitted tx
sequential_real_submitted_tx_per_sec,30064.7375,tx/s,Submitted tx processed by deployed API service
sequential_real_receipts_per_sec,28193.7392,receipts/s,Receipts produced by deployed API service
sequential_real_api_requests_per_sec,97.7606,requests/s,One scenario run per request
batch_run_all_response_seconds,5.010504,seconds,"One POST /run-all request, export=false"
batch_run_all_rows,700,rows,Rows returned by API summary
batch_real_receipts_per_sec_estimate,40290.7577,receipts/s,Estimate using total receipts and batch compute/summary response time
